mean_length,genomes,chroms
934.9176470588235,85,"1,6"
1336.9176470588236,85,"1,6"
631.0,3,1
1083.75,4,1
591.0,3,1
668.25,4,1
593.5,2,1
786.5,2,1
1263.625,8,1
1105.0,2,1
620.5,4,1
862.375,7,1
737.5,2,1
785.2727272727273,9,1
1427.0,2,1
542.0833333333334,12,1
751.8333333333334,6,1
586.0,7,1
869.2,10,1
2130.247058823529,85,"1,6"
3559.705882352941,85,"1,6"
3098.541176470588,85,"1,6"
1647.870588235294,85,"1,6"
562.6279069767442,85,"1,6"
2075.6511627906975,85,"1,6"
2236.258823529412,85,"1,6"
2088.8117647058825,85,"1,6"
942.564705882353,85,"1,6"
2458.741176470588,85,"1,6"
982.7261904761905,84,"1,6"
1496.2380952380952,84,"1,6"
1296.75,4,1
2466.3411764705884,85,"1,6"
1688.1176470588234,85,"1,6"
5895.894117647059,85,"1,6"
567.7857142857143,13,1
1237.2209302325582,85,"1,6"
726.5,4,1
649.7882352941176,85,"1,6"
1008.1176470588235,85,"1,6"
2621.5882352941176,85,"1,6"
801.0235294117647,85,"1,6"
859.3764705882353,85,"1,6"
2793.5529411764705,85,"1,6"
1579.5119047619048,84,"1,6"
1439.870588235294,85,"1,6"
1674.4352941176471,85,"1,6"
2444.9058823529413,84,"1,6"
922.7209302325581,85,"1,6"
949.4470588235295,85,"1,6"
1469.7093023255813,85,"1,6"
624.6744186046511,85,"1,6"
2024.9651162790697,85,"1,6"
3714.6941176470586,85,"1,6"
1954.5882352941176,85,"1,6"
1199.9529411764706,85,"1,6"
860.5294117647059,85,"1,6"
556.9761904761905,84,"1,6"
4837.1882352941175,85,"1,6"
4078.752941176471,85,"1,6"
1318.0235294117647,85,"1,6"
802.5529411764705,85,"1,6"
6413.235294117647,85,"1,6"
585.2222222222222,9,1
532.2666666666667,15,1
1279.129411764706,85,"1,6"
2355.25,4,1
1127.0470588235294,85,"1,6"
1666.9529411764706,85,"1,6"
610.8,85,"1,6"
2387.329411764706,85,"1,6"
1045.9058823529413,85,"1,6"
1912.5176470588235,85,"1,6"
1435.5882352941176,85,"1,6"
1342.6470588235295,85,"1,6"
1822.6941176470589,85,"1,6"
1936.3294117647058,85,"1,6"
622.9875,80,"1,6"
1816.7176470588236,85,"1,6"
1066.9058823529413,85,"1,6"
1579.6823529411765,85,"1,6"
2249.267441860465,85,"1,6"
6778.458823529411,85,"1,6"
2065.0117647058823,85,"1,6"
815.4235294117647,85,"1,6"
2208.435294117647,85,"1,6"
719.0235294117647,85,"1,6"
783.9764705882353,85,"1,6"
615.3294117647059,85,"1,6"
588.9,10,1
2114.494117647059,85,"1,6"
1687.5882352941176,85,"1,6"
1394.070588235294,85,"1,6"
1998.0823529411764,85,"1,6"
4192.576470588236,85,"1,6"
1938.5294117647059,85,"1,6"
1030.2117647058824,85,"1,6"
1957.929411764706,85,"1,6"
995.4235294117647,85,"1,6"
5087.611764705883,85,"1,6"
864.4,5,1
801.1764705882352,85,"1,6"
2343.6235294117646,85,"1,6"
727.0588235294117,85,"1,6"
1325.9529411764706,85,"1,6"
1488.6941176470589,85,"1,6"
5345.058823529412,85,"1,6"
2802.576470588235,85,"1,6"
758.6588235294117,85,"1,6"
1292.3882352941177,85,"1,6"
1808.5,85,"1,6"
1040.6470588235295,85,"1,6"
834.8705882352941,85,"1,6"
535.8333333333334,12,1
1659.035294117647,85,"1,6"
621.75,4,1
670.0,3,1
735.3058823529411,85,"1,6"
574.3411764705883,85,"1,6"
4617.117647058823,85,"1,6"
2817.529411764706,85,"1,6"
2210.176470588235,85,"1,6"
3287.1529411764704,85,"1,6"
861.0235294117647,85,"1,6"
1849.894117647059,85,"1,6"
1192.7529411764706,85,"1,6"
631.3411764705883,85,"1,6"
603.2,5,1
1927.5813953488373,85,"1,6"
3577.6941176470586,85,"1,6"
825.2,5,1
977.6588235294117,85,"1,6"
1313.1744186046512,85,"1,6"
3011.541176470588,85,"1,6"
6052.341176470588,85,"1,6"
970.8352941176471,85,"1,6"
2843.779069767442,85,"1,6"
1216.7441860465117,85,"1,6"
662.1395348837209,85,"1,6"
1062.4588235294118,84,"1,6"
6284.082352941176,85,"1,6"
