mean_length,genomes,chroms
853.0,58,1
6413.275862068966,58,1
1926.4137931034484,58,1
2944.7241379310344,58,1
8694.241379310344,58,1
2954.6206896551726,58,1
1345.0172413793102,58,1
1170.9137931034484,58,1
2170.189655172414,58,1
690.1621621621622,37,1
1066.5084745762713,58,1
2354.677966101695,58,1
1082.2241379310344,58,1
885.7931034482758,58,1
836.2758620689655,58,1
731.9310344827586,58,1
1533.3620689655172,58,1
1781.7068965517242,58,1
1330.8070175438597,57,1
660.0,57,1
923.6206896551724,58,1
3656.8275862068967,58,1
1404.6724137931035,58,1
1335.948275862069,58,1
2094.1206896551726,58,1
1309.2586206896551,58,1
602.6666666666666,51,1
1923.2586206896551,58,1
1052.5172413793102,58,1
515.1428571428571,14,1
1532.4137931034484,58,1
1296.551724137931,58,1
1281.344827586207,58,1
1228.719298245614,57,1
2138.6724137931033,58,1
3359.9827586206898,58,1
1033.3333333333333,3,1
5424.758620689655,58,1
4732.448275862069,58,1
5429.5344827586205,58,1
4024.7413793103447,58,1
644.0975609756098,41,1
2598.9137931034484,58,1
688.2666666666667,45,1
1139.551724137931,58,1
2709.689655172414,58,1
822.0666666666667,58,1
640.9166666666666,58,1
2290.64406779661,58,1
688.9655172413793,58,1
2262.706896551724,58,1
554.0,57,1
1973.603448275862,58,1
947.3620689655172,58,1
1306.0689655172414,58,1
747.948275862069,58,1
628.0,58,1
944.4857142857143,35,1
2551.7586206896553,58,1
1441.8103448275863,58,1
6612.551724137931,58,1
1573.344827586207,58,1
8175.120689655172,58,1
1419.103448275862,58,1
1606.0344827586207,58,1
2083.6724137931033,58,1
3398.8275862068967,58,1
1526.896551724138,58,1
828.1724137931035,58,1
643.6610169491526,58,1
1946.6440677966102,58,1
889.6,58,1
3970.396551724138,58,1
590.7068965517242,58,1
5330.637931034483,58,1
4544.051724137931,58,1
1825.8275862068965,58,1
4866.224137931034,58,1
4977.982758620689,58,1
2082.9137931034484,58,1
1467.2413793103449,58,1
3613.6206896551726,58,1
2211.810344827586,58,1
1176.051724137931,58,1
596.0344827586207,58,1
7945.0,58,1
620.2456140350877,57,1
2719.0689655172414,58,1
5730.724137931034,58,1
733.5172413793103,58,1
1138.1724137931035,58,1
3259.1206896551726,58,1
923.2232142857143,56,1
3356.362068965517,58,1
4259.258620689655,58,1
4184.220338983051,58,1
960.9661016949152,58,1
2168.4310344827586,58,1
935.1206896551724,58,1
528.1470588235294,33,1
1631.4655172413793,58,1
3216.6724137931033,58,1
586.1379310344828,58,1
3149.396551724138,58,1
2359.4137931034484,58,1
879.71875,32,1
1624.0,58,1
1092.121951219512,41,1
2088.1724137931033,58,1
1366.5,10,1
4502.620689655172,58,1
5027.310344827586,58,1
954.1272727272727,55,1
2115.3050847457625,58,1
895.3454545454546,55,1
2410.3636363636365,55,1
2334.690909090909,55,1
5150.618181818182,55,1
2421.793103448276,58,1
783.3103448275862,58,1
1762.8620689655172,58,1
1287.4827586206898,58,1
666.6379310344828,58,1
1349.6896551724137,58,1
2009.2413793103449,58,1
890.2068965517242,58,1
929.2413793103449,58,1
3110.9310344827586,58,1
1732.0181818181818,55,1
1405.8727272727272,55,1
715.5818181818182,55,1
3433.2545454545457,55,1
1939.5636363636363,55,1
2378.5272727272727,55,1
531.9347826086956,46,1
1657.3620689655172,58,1
1576.3793103448277,58,1
1738.5862068965516,58,1
1745.0689655172414,58,1
959.3559322033898,58,1
2797.603448275862,58,1
538.4883720930233,25,1
885.9024390243902,39,1
1064.25,16,1
2617.866666666667,15,1
895.7586206896551,29,1
757.6136363636364,42,1
8983.655172413793,58,1
1415.4655172413793,58,1
593.2857142857143,14,1
1115.5,2,1
1914.418181818182,55,1
573.8727272727273,55,1
733.9130434782609,22,1
823.9142857142857,28,1
643.4444444444445,9,1
1217.6363636363637,11,1
1441.1,10,1
1347.2162162162163,23,1
571.9384615384615,46,1
843.3770491803278,46,1
534.7833333333333,46,1
1744.084745762712,46,1
1586.3559322033898,45,1
1517.6379310344828,45,1
2870.1525423728813,45,1
524.0,45,1
2076.9473684210525,45,1
1105.3076923076924,24,1
718.7083333333334,22,1
707.7222222222222,16,1
1549.421052631579,13,1
537.3333333333334,15,1
868.1333333333333,15,1
